,region,electorate_2019,population_2020,area_km2,representative,,party,province_name,district_no,district_link
199,IV-A,268105,446711,1986.2,Reynante Arrogancia,,NPC,Quezon,3,/wiki/Quezon%27s_3rd_congressional_district
200,IV-A,273864,455434,2079.21,Mike Tan,,NPC,Quezon,4,/wiki/Quezon%27s_4th_congressional_district
201,NCR,204097,384384,19.16,Arjo Atayde,,Nacionalista,Quezon City,1,/wiki/Quezon_City%27s_1st_congressional_district
202,NCR,329585,738328,26.62,Ralph Tulfo,,PFP,Quezon City,2,/wiki/Quezon_City%27s_2nd_congressional_district
203,NCR,150580,319371,22.16,Franz Pumaren,,NUP,Quezon City,3,/wiki/Quezon_City%27s_3rd_congressional_district
204,NCR,209699,407402,22.86,Marvin Rillo,,Lakas,Quezon City,4,/wiki/Quezon_City%27s_4th_congressional_district
205,NCR,246497,596047,52.01,PM Vargas,,Lakas,Quezon City,5,/wiki/Quezon_City%27s_5th_congressional_district
206,NCR,189660,514516,21.72,Marivic Co-Pilar,,NUP,Quezon City,6,/wiki/Quezon_City%27s_6th_congressional_district
207,II,117635,203828,2323.47,Midy Cua,,Lakas,Quirino,at-large,/wiki/Quirino%27s_at-large_congressional_district
208,IV-A,544551,1207509,174.35,Michael John Duavit,,NPC,Rizal,1,/wiki/Rizal%27s_1st_congressional_district
209,IV-A,278444,517975,474.46,Dino Tanjuatco,,Liberal,Rizal,2,/wiki/Rizal%27s_2nd_congressional_district
210,IV-A,106418,273306,55.09,Jose Arturo Garcia Jr.,,NPC,Rizal,3,/wiki/Rizal%27s_3rd_congressional_district
